final_event_id,event_name,release_date,release_month,true_model_creator,creator_country,creator_type,model_family,candidate_tier,company_count,has_llm_metrics,has_media_metrics
FMR-0001,LLaMA 3,2024-04-18,2024-04,Meta,United States,listed_us_company,Llama,Tier 2,86,True,False
FMR-0002,Imagen 3,2024-05-14,2024-05,Google,United States,listed_us_company,Imagen,Tier 2,86,False,True
FMR-0003,Gemini Flash 1.5,2024-05-30,2024-05,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0004,Stable Diffusion 3,2024-06-12,2024-06,Stability AI,United Kingdom,private_non_us_company,Stable Diffusion,Tier 1,86,False,True
FMR-0005,Gemini 1.5 Flash,2024-08-08,2024-08,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0006,Grok 2,2024-08-13,2024-08,xAI,United States,private_us_company,Grok,Tier 1,86,True,False
FMR-0007,Imagen 3,2024-08-28,2024-08,Google,United States,listed_us_company,Imagen,Tier 1,86,False,True
FMR-0008,o1 preview,2024-09-12,2024-09,OpenAI,United States,private_us_company,o-series,Tier 2,86,True,False
FMR-0009,o1 mini,2024-09-12,2024-09,OpenAI,United States,private_us_company,o-series,Tier 2,86,True,False
FMR-0010,Gemini 1.5 002 family,2024-09-24,2024-09,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0011,Gemini 1.5 Pro,2024-10-03,2024-10,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0012,Gemini 1.5 Flash8B,2024-10-03,2024-10,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0013,Claude 3.5 Sonnet New / Haiku family,2024-10-22,2024-10,Anthropic,United States,private_us_company,Claude,Tier 2,86,True,False
FMR-0014,Qwen2.5 Coder 32B,2024-11-12,2024-11,Alibaba,China,public_non_us_company,Qwen,Tier 2,86,True,False
FMR-0015,Llama 3.3 70B,2024-12-06,2024-12,Meta,United States,listed_us_company,Llama,Tier 1,86,True,False
FMR-0016,SORA,2024-12-09,2024-12,OpenAI,United States,private_us_company,Sora,Tier 1,86,False,True
FMR-0017,Gemini-2.0-Flash-Thinking,2024-12-11,2024-12,Google,United States,listed_us_company,Gemini,Tier 1,86,True,False
FMR-0018,o1,2024-12-17,2024-12,OpenAI,United States,private_us_company,o-series,Tier 1,86,True,False
FMR-0019,o1 Pro,2024-12-17,2024-12,OpenAI,United States,private_us_company,o-series,Tier 1,86,True,False
FMR-0020,o3 family announcement,2024-12-20,2024-12,OpenAI,United States,private_us_company,o-series,Tier 3,86,True,False
FMR-0021,DeepSeek R1,2025-01-22,2025-01,DeepSeek,China,private_non_us_company,DeepSeek,Tier 1,86,True,False
FMR-0022,Qwen2.5-Max,2025-01-28,2025-01,Alibaba,China,public_non_us_company,Qwen,Tier 1,86,True,False
FMR-0023,o3 mini,2025-01-31,2025-01,OpenAI,United States,private_us_company,o-series,Tier 2,86,True,False
FMR-0024,Gemini 2.0 family,2025-02-05,2025-02,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0025,Grok 3 family,2025-02-17,2025-02,xAI,United States,private_us_company,Grok,Tier 1,86,True,False
FMR-0026,Claude 3.7,2025-02-18,2025-02,Anthropic,United States,private_us_company,Claude,Tier 1,86,True,False
FMR-0027,Gemini 2.0 Flash-Lite Preview,2025-02-25,2025-02,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0028,Phi-4 mini / multimodal family,2025-02-26,2025-02,Microsoft,United States,listed_us_company,Phi,Tier 2,86,True,False
FMR-0029,Gemini 2.0 Flash Experimental,2025-03-12,2025-03,Google,United States,listed_us_company,Gemini,Tier 1,86,True,False
FMR-0030,Runway Gen-4,2025-03-31,2025-03,Runway,United States,private_us_company,Runway Gen,Tier 1,86,False,True
FMR-0031,Veo 2.0,2025-04-15,2025-04,Google,United States,listed_us_company,Veo,Tier 1,86,False,True
FMR-0032,Kling 2.0,2025-04-15,2025-04,Kuaishou,China,public_non_us_company,Kling,Tier 1,86,False,True
FMR-0033,o3 full,2025-04-16,2025-04,OpenAI,United States,private_us_company,o-series,Tier 2,86,True,False
FMR-0034,o4 mini,2025-04-16,2025-04,OpenAI,United States,private_us_company,o-series,Tier 2,86,True,False
FMR-0035,Vidu Q1,2025-04-21,2025-04,ShengShu Technology,China,private_non_us_company,Vidu,Tier 1,86,False,True
FMR-0036,Gemini 2.5 Pro,2025-05-06,2025-05,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0037,Gemma 3n,2025-05-20,2025-05,Google,United States,listed_us_company,Gemma,Tier 3,86,True,False
FMR-0038,Claude Sonnet 4,2025-05-21,2025-05,Anthropic,United States,private_us_company,Claude,Tier 1,86,True,False
FMR-0039,Google I/O media model family,2025-05-21,2025-05,Google,United States,listed_us_company,Veo; Imagen,Tier 1,86,False,True
FMR-0040,Claude 4 Opus,2025-05-22,2025-05,Anthropic,United States,private_us_company,Claude,Tier 1,86,True,False
FMR-0041,Gemini 2.5 Flash,2025-06-17,2025-06,Google,United States,listed_us_company,Gemini,Tier 2,86,True,False
FMR-0042,Gemini 2.5 Pro,2025-06-17,2025-06,Google,United States,listed_us_company,Gemini,Tier 1,86,True,False
FMR-0043,Qwen3-235B-A22B-Instruct-2507,2025-07-21,2025-07,Alibaba,China,public_non_us_company,Qwen,Tier 2,86,True,False
FMR-0044,Qwen3-Coder,2025-07-22,2025-07,Alibaba,China,public_non_us_company,Qwen,Tier 2,86,True,False
FMR-0045,GLM-4.5,2025-07-28,2025-07,Zhipu AI,China,private_non_us_company,GLM,Tier 2,86,True,False
FMR-0046,gpt-oss family,2025-08-05,2025-08,OpenAI,United States,private_us_company,GPT,Tier 1,86,True,False
FMR-0047,Gemini 2.5 Flash Image,2025-08-26,2025-08,Google,United States,listed_us_company,Gemini,Tier 1,86,False,True
FMR-0048,Qwen-3-Max,2025-09-05,2025-09,Alibaba,China,public_non_us_company,Qwen,Tier 1,86,True,False
FMR-0049,Claude Sonnet 4.5,2025-09-25,2025-09,Anthropic,United States,private_us_company,Claude,Tier 2,86,True,False
FMR-0050,Claude 4.5 Haiku,2025-10-14,2025-10,Anthropic,United States,private_us_company,Claude,Tier 2,86,True,False
FMR-0051,Mistral 3,2025-12-02,2025-12,Mistral AI,France,private_non_us_company,Mistral,Tier 2,86,True,False
FMR-0052,Devstral 2,2025-12-09,2025-12,Mistral AI,France,private_non_us_company,Devstral,Tier 2,86,True,False
FMR-0053,Z-Image-Turbo,2025-12-18,2025-12,Alibaba,China,public_non_us_company,Z-Image-Turbo,Tier 2,86,False,True
FMR-0054,GPT-5.2,2025-12-18,2025-12,OpenAI,United States,private_us_company,GPT,Tier 1,86,True,False
FMR-0055,Qwen-Image-2512,2025-12-31,2025-12,Alibaba,China,public_non_us_company,Qwen,Tier 2,86,False,True
FMR-0056,Claude Opus 4.6,2026-02-05,2026-02,Anthropic,United States,private_us_company,Claude,Tier 2,86,True,False
FMR-0057,GPT-5.3-Codex,2026-02-12,2026-02,OpenAI,United States,private_us_company,GPT,Tier 1,86,True,False
FMR-0058,Claude Sonnet 4.6,2026-02-16,2026-02,Anthropic,United States,private_us_company,Claude,Tier 2,86,True,False
FMR-0059,Nano Banana 2,2026-02-26,2026-02,Google,United States,listed_us_company,Nano Banana,Tier 2,86,False,True
FMR-0060,GPT-5.4 family,2026-03-17,2026-03,OpenAI,United States,private_us_company,GPT,Tier 1,86,True,False
